seed,success,primitive_steps,go_to_key,pickup_key,go_to_door,open_door,go_to_goal,error
0,True,17,5,1,5,1,5,
1,True,9,2,1,1,1,4,
2,True,15,2,1,3,1,8,
3,True,15,1,1,5,1,7,
4,True,9,2,1,1,1,4,
5,True,16,2,1,6,1,6,
6,True,24,8,1,10,1,4,
7,True,15,2,1,3,1,8,
8,True,17,1,1,5,1,9,
9,True,17,4,1,6,1,5,
10,True,15,3,1,5,1,5,
11,True,18,6,1,4,1,6,
12,True,18,4,1,5,1,7,
13,True,12,1,1,4,1,5,
14,True,19,3,1,9,1,5,
15,True,13,0,1,6,1,5,
16,True,19,6,1,7,1,4,
17,True,14,3,1,7,1,2,
18,True,11,1,1,5,1,3,
19,True,11,2,1,1,1,6,
20,True,17,3,1,6,1,6,
21,True,15,5,1,3,1,5,
22,True,12,2,1,3,1,5,
23,True,8,0,1,1,1,5,
24,True,10,2,1,4,1,2,
25,True,20,5,1,6,1,7,
26,True,23,4,1,6,1,11,
27,True,18,5,1,6,1,5,
28,True,19,7,1,2,1,8,
29,True,7,0,1,3,1,2,
30,True,17,3,1,5,1,7,
31,True,15,2,1,7,1,4,
32,True,19,5,1,6,1,6,
33,True,13,3,1,6,1,2,
34,True,18,4,1,5,1,7,
35,True,22,7,1,5,1,8,
36,True,18,8,1,6,1,2,
37,True,7,1,1,1,1,3,
38,True,17,5,1,4,1,6,
39,True,16,1,1,8,1,5,
40,True,12,0,1,2,1,8,
41,True,22,3,1,9,1,8,
42,True,12,3,1,1,1,6,
43,True,28,8,1,10,1,8,
44,True,18,4,1,6,1,6,
45,True,11,3,1,1,1,5,
46,True,14,4,1,4,1,4,
47,True,17,1,1,6,1,8,
48,True,16,2,1,3,1,9,
49,True,14,3,1,6,1,3,
50,True,15,4,1,4,1,5,
51,True,17,4,1,5,1,6,
52,True,16,1,1,5,1,8,
53,True,18,5,1,6,1,5,
54,True,17,4,1,7,1,4,
55,True,9,4,1,1,1,2,
56,True,13,1,1,2,1,8,
57,True,11,3,1,1,1,5,
58,True,13,3,1,1,1,7,
59,True,8,1,1,1,1,4,
60,True,14,2,1,4,1,6,
61,True,15,3,1,6,1,4,
62,True,15,5,1,2,1,6,
63,True,17,6,1,2,1,7,
64,True,13,4,1,1,1,6,
65,True,20,6,1,8,1,4,
66,True,19,7,1,6,1,4,
67,True,15,0,1,8,1,5,
68,True,15,2,1,6,1,5,
69,True,14,4,1,5,1,3,
70,True,25,7,1,8,1,8,
71,True,20,6,1,6,1,6,
72,True,15,3,1,6,1,4,
73,True,10,1,1,4,1,3,
74,True,16,6,1,4,1,4,
75,True,15,2,1,7,1,4,
76,True,18,5,1,7,1,4,
77,True,21,6,1,6,1,7,
78,True,14,3,1,2,1,7,
79,True,16,4,1,6,1,4,
80,True,12,1,1,2,1,7,
81,True,19,5,1,6,1,6,
82,True,13,4,1,4,1,3,
83,True,16,4,1,5,1,5,
84,True,13,6,1,1,1,4,
85,True,13,2,1,4,1,5,
86,True,15,6,1,2,1,5,
87,True,15,3,1,4,1,6,
88,True,15,3,1,4,1,6,
89,True,14,6,1,2,1,4,
90,True,15,4,1,4,1,5,
91,True,19,7,1,3,1,7,
92,True,11,3,1,4,1,2,
93,True,15,2,1,7,1,4,
94,True,7,0,1,3,1,2,
95,True,15,4,1,5,1,4,
96,True,16,3,1,5,1,6,
97,True,19,4,1,6,1,7,
98,True,18,1,1,9,1,6,
99,True,12,1,1,2,1,7,
